,ZS_name,name,formatted_address,location,rating,user_ratings_total,formatted_phone_number
726,Krušovická chalupa,Krušárna,"5. května 62, 140 00 Praha 4-Nusle, Czechia","{'lat': 50.0604119, 'lng': 14.432637}",5.0,1.0,776 201 491
727,KŘEN JOSEF,Zemní Práce Strojem Křen Josef,"4, Ke Kozím hřbetům 3, 165 00 Praha-Suchdol, Czechia","{'lat': 50.1401247, 'lng': 14.3717339}",,,220 923 141
728,KUČERA PRAHA s.r.o.,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
729,KUČERA PRAHA s.r.o.,,,,,,
730,"Kulatý roh, s.r.o.",,,,,,
731,Kverka Pavel Restaurace PĚT PENĚZ,,,,,,
732,Kyoto Sushi Galerie Harfa,,,,,,
733,KYVADLO - RESTAURANT - PUB,,,,,,
734,"L.V.P. Praha, s.r.o.",Restaurace Praga,"Jiřího ze Vtelna 1731/11, 193 00 Praha 20, Czechia","{'lat': 50.1165668, 'lng': 14.6067951}",4.3,19.0,739 511 045
735,La Belle Epoque,,,,,,
736,La Boca Restaurant,La Boca,"Truhlářská 10, Petrská čtvrť, 110 00 Praha 1, Czechia","{'lat': 50.09023280000001, 'lng': 14.4295925}",4.3,831.0,222 312 073
737,LA BODEGUITA DEL MEDIO,Cohiba Atmosphere bar,"5, Kaprova 19, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0885206, 'lng': 14.4171636}",4.3,36.0,224 813 922
738,LA CASA BLŮ s.r.o.,La Casa Blů,"Kozí 857/15, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.09114169999999, 'lng': 14.4218173}",4.5,1551.0,224 818 270
739,La Casa di Erminio s.r.o.,La Casa di Erminio,"Krkonošská 10, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0796332, 'lng': 14.4461974}",4.8,316.0,704 087 191
740,La Corta - Dvůr restaurant,Gamav S.r.o.,"44, Na Poříčí 1053, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0900423, 'lng': 14.43632}",5.0,1.0,222 329 308
741,La Festa,,,,,,
742,La Finestra Restaurant,La Finestra in Cucina,"Platnéřská 90/13, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08735129999999, 'lng': 14.4162553}",4.6,988.0,222 325 325
743,LA LAVANDE RESTAURANT - BRASSERIE,608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
744,La Loca MUSIC BAR & LOUNGE,,,,,,
745,Céleste,,,,,,
746,La Piccola Perla,‪La Piccola Perla‬,"Perlová 412/1, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08354569999999, 'lng': 14.4213247}",4.6,2861.0,224 282 537
747,La Rivière restaurant,,,,,,
748,La Strada Ristorante,233 323,"233 323, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
749,La Terrassa,MANU Risto & Lounge,"25, Dětský ostrov 3197, Smíchov, 150 00 Praha-Praha 5, Czechia","{'lat': 50.076791, 'lng': 14.409402}",4.1,545.0,725 161 616
750,LA VERANDA,La Veranda,"Elišky Krásnohorské 2/10, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0902555, 'lng': 14.4199516}",4.7,493.0,224 814 733
751,LA VITA E BELLA,,,,,,
752,LA VITA E BELLA s.r.o.,,,,,,
753,Ladislav Horák,Restaurace u Krčáku,"Hrabákova 2001/21, 148 00 Praha 11-Chodov, Czechia","{'lat': 50.0297034, 'lng': 14.4828484}",3.8,578.0,736 228 433
754,Ladislav JANČÍ,,,,,,
755,Lal Qila s.r.o.,Lal Qila,"V Parku Chodov, 148 00 Praha 11-Chodov, Czechia","{'lat': 50.02793619999999, 'lng': 14.4944682}",,,774 310 774
756,LARDOISE,"420, 102 222","420, 102 222, 252 02 Jíloviště, Czechia","{'lat': 49.9425361, 'lng': 14.3922371}",,,
757,LArtista,"Špagetům vděčíme za to, že tak málo Italů nosí plnovous","Legerova, 120 00 Praha 2-Nové Město, Czechia","{'lat': 50.0695866, 'lng': 14.4311187}",,,222 924 562
758,Lavande Restaurant,Lavande,"Lidická 2, Janáčkovo nábř. 1, 150 00 Praha 5-Smíchov, Czechia","{'lat': 50.0727212, 'lng': 14.4098145}",4.5,1146.0,734 322 351
759,LE - SAINT - JACQUES,,,,,,
760,Le Bouchon,Wine & Dine,"10, V Celnici 1028, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.088227, 'lng': 14.4316856}",4.7,23.0,221 033 389
761,LE CORNICHON,,,,,,
762,LE PAPILLON,"420, 111 234","420, 111 234, 257 26 Divišov, Czechia","{'lat': 49.7941437, 'lng': 14.8832502}",,,
763,LE PATISSIER,,,,,,
764,LE PAVILLON,,,,,,
765,LE TERROIR,,,,,,
766,Leasing Pravda s.r.o.,,,,,,
767,Lehká hlava - vegetariánská restaurace,Lehká hlava - vegetarian restaurant,"Boršov 280/2, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0840921, 'lng': 14.4145105}",4.7,2097.0,222 220 665
768,LEMON LEAF,Lemon Leaf,"14, Myslíkova 260, Nové Město, 120 00 Praha-Praha 2, Czechia","{'lat': 50.07750610000001, 'lng': 14.4167086}",4.4,1626.0,224 919 056
769,LENCOVÁ ANEŽKA,,,,,,
770,LENCOVÁ ANEŽKA,,,,,,
771,LENCOVÁ ANEŽKA,,,,,,
772,LES MOULES,Les Moules,"Pařížská 203/19, Josefov, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0906266, 'lng': 14.4180166}",4.4,1104.0,222 315 022
773,LETENSKÝ ZÁMEČEK,233 374,"233 374, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
774,"LEV CZ, a.s.",233 356,"233 356, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
775,LIBANONSKÁ RESTAURACE BYBLOS,,,,,,
776,LIBOCKÁ STUDNA,,,,,,
777,LIBOCKÝ DVŮR,,,,,,
778,Libuše Tauerová,,,,,,
779,Life Star s.r.o.,,,,,,
780,"Lin Shan, s.r.o.",233 374,"233 374, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
781,LIPŠ VOJTĚCH,Lipš Vojtěch,"45, Spálená 105, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0814092, 'lng': 14.4193208}",,,222 517 953
782,"LIRAN, spol. s r.o.",233 383,"233 383, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
783,LIVE JAZZ RESTAURANT ZLATÝ DVŮR,Restaurace U Modrého Hroznu,"15, Husova 227, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.08573690000001, 'lng': 14.4180819}",3.5,372.0,222 221 185
784,LIWU s.r.o.,LIWU - Head Office,"6, V Lužích 735, 142 00 Praha-Libuš-SAPA, Czechia","{'lat': 50.0049046, 'lng': 14.4708183}",,,222 360 837
785,LOKAL BLOK s.r.o.,,,,,,
786,Loving Hut,,,,,,
787,Loving Hut,Loving Hut,"Budějovická 1123/13, 140 00 Praha 4-Michle, Czechia","{'lat': 50.046074, 'lng': 14.447883}",4.3,421.0,723 390 039
788,Loving Hut,Loving Hut,"Plzeňská 8/300, Smíchov, 150 00 Praha 5-Motol, Czechia","{'lat': 50.07274399999999, 'lng': 14.402604}",4.3,354.0,773 904 988
789,Loving Hut,Loving Hut - Vinohrady,"Jugoslávská 481/12, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.075268, 'lng': 14.4331439}",4.5,795.0,777 727 668
790,Loving Hut,Loving Hut - Černá Labuť,"Dům Černá labuť, Na Poříčí 25, Petrská čtvrť, 110 00 Praha-Praha 1, Czechia","{'lat': 50.09006900000001, 'lng': 14.434365}",4.5,1032.0,775 999 376
791,Loving Hut,,,,,,
792,"LTJ, s.r.o.","LTJ, s.r.o.","48, Václavské nám. 799, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0807213, 'lng': 14.4276861}",,,222 212 112
793,"Lubr Praha, s.r.o.",Pot-au-feu,"Rybná 1065/1065/13, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0891667, 'lng': 14.4258333}",4.8,247.0,739 654 884
794,Lucie Žáčková,,,,,,
795,"Lucky 88888, s.r.o.",,,,,,
796,"LUCKY RABBIT, s.r.o.","Lucky Rabbit, S.r.o.","13, Michalská 439, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0847021, 'lng': 14.420043}",,,736 247 737
797,"LUCKY RABBIT, s.r.o.",,,,,,
798,"LUCKY RABBIT, s.r.o.",,,,,,
799,Luděk Láryš - Restaurace NEBOZÍZEK,,,,,,
800,LUKA LU,Luka Lu,"Újezd 33/402, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.08366439999999, 'lng': 14.4041979}",4.5,1966.0,257 212 388
801,Lukado s.r.o.,,,,,,
802,LVÍ DVŮR,,,,,,
803,M & M-VONDRÁČEK MARTIN,Café Fiesta,"Václavkova 176/2, 160 00 Praha 6-Dejvice, Czechia","{'lat': 50.0977456, 'lng': 14.4009283}",4.1,417.0,224 324 448
804,M AMBIENTE SYSTEM GASTRONOMIE,AMBI CZ,"15, Maiselova 38, Josefov, 110 00 Praha-Praha 1, Czechia","{'lat': 50.089592, 'lng': 14.4181715}",4.2,10.0,222 714 990
805,"M AMBIENTE SYSTEM GASTRONOMIE, s.r.o.","M Ambiente System Gastronomie, S.r.o.","9, Třebízského 1285, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.07808780000001, 'lng': 14.4435101}",,,222 734 968
806,Mabus s.r.o.,Grand Restaurant,"Ruzyňská 197, 161 00 Praha 6-Ruzyně, Czechia","{'lat': 50.08363540000001, 'lng': 14.3189992}",4.5,22.0,235 300 524
807,MÁCA VLADIMÍR,,,,,,
808,Macao & Wok,Macao restaurant,"Truhlářská 3, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0895531, 'lng': 14.4285628}",4.0,538.0,222 316 093
809,MAGIC SPOON,,,,,,
810,Magická zahrada NOUVEAU,,,,,,
811,"MAI-Nguyen, s.r.o.",,,,,,
812,"MAILSI INTERNATIONAL, s.r.o.",,,,,,
813,Maitrea restaurace,Maitrea restaurace,"Týnská ulička 1064/6, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0884285, 'lng': 14.4225103}",4.7,3284.0,221 711 631
814,"Makakiko, s.r.o.",Makakiko Running Sushi,"Plzeňská 8, 150 00 Praha 5-Anděl, Czechia","{'lat': 50.0726525, 'lng': 14.4027201}",3.9,586.0,257 222 188
815,"Makakiko, s.r.o.",Makakiko Running Sushi,"Plzeňská 8, 150 00 Praha 5-Anděl, Czechia","{'lat': 50.0726525, 'lng': 14.4027201}",3.9,586.0,257 222 188
816,"Makakiko, s.r.o. - Nový Smíchov",Makakiko Running Sushi,"Plzeňská 8, 150 00 Praha 5-Anděl, Czechia","{'lat': 50.0726525, 'lng': 14.4027201}",3.9,586.0,257 222 188
817,Malá Bretaň,Malá Bretaň,"Opatovická 1405/13, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.079702, 'lng': 14.4177733}",4.4,249.0,776 277 737
818,MALÁ RYBA,,,,,,
819,MALBE spol. s r.o.,Tři století,"4, Míšeňská 70, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0878167, 'lng': 14.4082167}",4.5,720.0,257 217 940
820,MALÍK DAVID,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
821,MALINA PETR,Malina Petr,"115, Kladenská 96, 160 00 Praha 6, Czechia","{'lat': 50.0948812, 'lng': 14.3544881}",,,220 188 811
822,MALÝ BUDDHA,Malý Buddha,"44, Úvoz 110, 118 00 Praha 1-Hradčany, Czechia","{'lat': 50.0877432, 'lng': 14.3907793}",4.4,478.0,220 513 894
823,Mamy Korean Restaurant,Mamy Korean Restaurant,"Benediktská 3, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.08990739999999, 'lng': 14.4266662}",4.0,1680.0,224 815 009
824,Mamy Korean Restaurant,,,,,,
825,MÁNESKA s.r.o.,,,,,,
826,MANTA spol. s r.o.,,,,,,
827,MANU Risto & Lounge,MANU Risto & Lounge,"25, Dětský ostrov 3197, Smíchov, 150 00 Praha-Praha 5, Czechia","{'lat': 50.076791, 'lng': 14.409402}",4.1,545.0,725 161 616
828,"Marako, s.r.o.",605 206,"605 206, 252 16 Nučice, Czechia","{'lat': 50.0090741, 'lng': 14.1954979}",,,
829,Marea restaurant & bar,Marea restaurant & bar,"7, Konviktská 1055, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0835331, 'lng': 14.4162058}",4.0,7.0,739 840 414
830,Marek HORNÍČEK,Hostinec (restaurace) U Bůčka,"K Lochkovu 29/7, 154 00 Praha-Slivenec, Czechia","{'lat': 50.0187112, 'lng': 14.3558298}",4.5,1009.0,737 780 745
831,Marie Krejčová,,,,,,
832,MarLin rest s.r.o.,,,,,,
833,Martin Hanousek,Martin Hanousek,"1, Rybničná 18, 162 00 Praha 6-Liboc, Czechia","{'lat': 50.0891301, 'lng': 14.3305641}",,,220 517 542
834,Martin Hetflejš,,,,,,
835,Martin HORÁK,Restaurace U Holanů,"10, Londýnská 221, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0713201, 'lng': 14.4355497}",3.9,485.0,222 511 001
836,Martin Place Restaurant,,,,,,
837,Martin Rycko,U Houmra,"Šumavská 20, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0747041, 'lng': 14.4440937}",4.4,1433.0,222 510 510
838,Martin Sochůrek,606,"606, Czechia","{'lat': 50.0811842, 'lng': 14.2568543}",,,
839,MARTIN TOFI,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
840,Martin's Irish Pub,,,,,,
841,Masala - Jana Masaryka,,,,,,
842,Masaryčka - pizzeria - restaurant,,,,,,
843,MASH HANA,Mash Hana,"3, Badeniho 291, 160 00 Praha 6-Hradčany, Czechia","{'lat': 50.0972222, 'lng': 14.4075}",4.7,259.0,733 790 818
844,"MATADI, s.r.o.",,,,,,
845,Mc DONALDS RESTAURACE,,,,,,
846,McDonald`s ČR spol. s r.o.,McDonald's ČR spol. s.r.o.,"113c, Radlická 740, 158 00 Praha 5, Czechia","{'lat': 50.04810920000001, 'lng': 14.3571349}",,,222 007 111
847,Meduse Restaurant,,,,,,
848,MEET BURGER,MeetBurger,"Nám. Franze Kafky 17-18, Staré Město, 110 00 Praha 1, Czechia","{'lat': 50.08761699999999, 'lng': 14.419371}",3.8,1454.0,702 136 657
849,"MEGAMI, s.r.o.",,,,,,
850,Melina Restaurant,U Kubíka,"Jihlavská 507/44, 140 00 Praha 4-Michle, Czechia","{'lat': 50.0443671, 'lng': 14.4568816}",4.4,517.0,777 730 577
851,MELMAXX s.r.o.,,,,,,
852,Meltida s.r.o.,,,,,,
853,MERCEDES FORUM,,,,,,
854,MERCEDES FORUM,,,,,,
855,MERENDA s.r.o.,,,,,,
856,Merlin,Merlin,"Bělehradská 68, Vinohrady, 120 00 Praha-Praha 2, Czechia","{'lat': 50.07108539999999, 'lng': 14.4333959}",4.6,1067.0,222 522 054
857,"MEZCAL, s.r.o.",,,,,,
858,MEZINÁRODNÍ SPOLEČNOST PRO VĚDOMÍ KRŠNY - VEGETARIÁNSKÝ KLUB GÓVINDA,,,,,,
859,Mgr. Petra ZVONAŘOVÁ,,,,,,
860,MIAMO s.r.o.,Miamo S.r.o.,"38, M. Horákové 600, 170 00 Praha 7-Holešovice, Czechia","{'lat': 50.0999217, 'lng': 14.427927}",,,233 371 855
861,Mibi´s International Cuisine,,,,,,
862,"Michaela Brichtová, DiS.",,,,,,
863,Michal Botlík,Michal Botlík,"34, Severovýchodní I 1438, 141 00 Praha 4, Czechia","{'lat': 50.0478142, 'lng': 14.4788181}",,,775 975 852
864,Michal Procházka,,,,,,
865,Michal Vopelka,,,,,,
866,Miky´s Food,,,,,,
867,"Milá tchýně - P & K Restaurace, s.r.o.",Milá Tchýně,"11, Minská 626, 101 00 Praha 10-Vršovice, Czechia","{'lat': 50.0674211, 'lng': 14.4575566}",4.3,511.0,723 675 950
868,Milada PLASOVÁ - B & M Jana - Janička,,,,,,
869,Milan Tomáš,,,,,,
870,MILLHOUSE SUSHI,BASU 巴蜀,"CZ Praha Slovanský dům, Na Příkopě 859/22, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0864071, 'lng': 14.4274485}",4.2,421.0,221 451 771
871,Miloslav ZÁBRANSKÝ - U ZELENÉ BRÁNY,233 350,"233 350, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
872,MILUJ BLIŽNÍHO SVÉHO,,,,,,
873,Mimoměsto - restaurace a kavárna,,,,,,
874,"MINATIOS, s.r.o.",,,,,,
875,MIROSLAV BORZÍK,Miroslav Borzík,"12, Kořenského 753, Smíchov, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0760785, 'lng': 14.4061201}",,,257 326 048
876,Miroslav Žežulka - 2 M,Miroslav Žežulka - 2 M,"33, Karlická 121, 153 00 Praha-Praha 16, Czechia","{'lat': 49.9776244, 'lng': 14.351505}",3.5,4.0,257 911 032
877,"Mistaco, s.r.o.",,,,,,
878,"Modrá řeka, s.r.o.",,,,,,
879,Modrý zub,Restaurant Modrý zub,"Spálená 29, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08043600000001, 'lng': 14.419571}",4.4,1218.0,222 540 064
880,Molo 22,,,,,,
881,Mombassa  cafe-bar-čajovna,605 177,"605 177, 252 16 Nučice, Czechia","{'lat': 50.0090741, 'lng': 14.1954979}",,,
882,Momento,,,,,,
883,MON AMI,Mon Ami,"Roháčova 135/20, 130 00 Praha 3-Žižkov, Czechia","{'lat': 50.08655690000001, 'lng': 14.45496}",4.6,545.0,222 780 808
884,MONARCH,,,,,,
885,Mondi Cafe Restaurant,,,,,,
886,Money Murphy's,,,,,,
887,MOOD cafe - bar - restaurant,,,,,,
888,MOONLIGHT s.r.o.,U Glaubiců,"5, Malostranské nám. 266, 118 00 Praha 1-Malá Strana, Czechia","{'lat': 50.08757629999999, 'lng': 14.4035512}",4.5,7467.0,257 532 027
889,MORAVSKÝ ŠENK,Moravský Šenk,"137, Sokolovská 428, 180 00 Praha 8-Libeň, Czechia","{'lat': 50.1025011, 'lng': 14.4759053}",,,266 313 135
890,MOSHOLU s.r.o.,Restaurant Modrý zub,"Spálená 29, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08043600000001, 'lng': 14.419571}",4.4,1218.0,222 540 064
891,MOSHOLU s.r.o.,,,,,,
892,Motorest U vodáka,Motorest U Vodáka,"26, Výpadová 1037, 153 00 Praha-Praha 16, Czechia","{'lat': 49.9935024, 'lng': 14.3801384}",4.2,336.0,257 811 519
893,MOTOREST-KUČEROVÁ MARIE,,,,,,
894,MOUNT STEAK,David Novák,"1, Kotevní 1099, Smíchov, 150 00 Praha-Praha 5, Czechia","{'lat': 50.0638563, 'lng': 14.4102758}",,,257 532 652
895,MOUNT STEAK RESTAURANT,,,,,,
896,Mr. Sushi Restaurant,,,,,,
897,"Music club CHAMELEON, s.r.o.",,,,,,
898,Musil Petr,606,"606, Czechia","{'lat': 50.0811842, 'lng': 14.2568543}",,,
899,Musta Koira,,,,,,
900,"Mystery Services, s.r.o.",AvantGarde Restaurant & Café,"Evropská 2690/17, 160 00 Praha 6, Czechia","{'lat': 50.0997145, 'lng': 14.3880101}",4.5,203.0,224 174 224
901,Na Blbym místě,,,,,,
