,ZS_name,name,formatted_address,location,rating,user_ratings_total,formatted_phone_number
0,Repre restaurant,Repre Restaurant,"857, Nekázanka 4, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0854596, 'lng': 14.4273116}",4.0,789.0,222 211 451
1,Restaurace Nad Ledem,Restaurace Nad Ledem,"10b, Vladivostocká 1460, Vršovice, 100 00 Praha-Praha 10, Czechia","{'lat': 50.0689274, 'lng': 14.4791565}",4.4,369.0,728 464 824
2,SRI LANKAN CURRY HOUSE,,,,,,
3,Restaurace HOOTERS Vodičkova,"Na Zdraví Ventures, a.s.","18, Štěrková 1003, 153 00 Praha 16, Czechia","{'lat': 49.9901585, 'lng': 14.3661303}",,,602 799 222
4,1. MEXICKÁ RESTAURACE,Cantina,"Újezd 38, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.08291369999999, 'lng': 14.404606}",4.5,2288.0,257 317 173
5,A.H.W. a.s.,A.H.W. a.s.,"11, Na Srpečku 421, 152 00 Praha 5, Czechia","{'lat': 50.03731799999999, 'lng': 14.396561}",,,251 511 913
6,Abri s.r.o.,,,,,,
7,ABSOLUT s.r.o.,Absolut S.r.o.,"Žampiónová 25, 104 00 Praha 22, Czechia","{'lat': 50.0192465, 'lng': 14.5821912}",,,267 312 446
8,ADAMOVÁ IVA,,,,,,
9,"Adeta Service, s.r.o.",,,,,,
10,Adiscon Kampa s.r.o.,,,,,,
11,ADMIRÁL - RESTAURACE,,,,,,
12,"Aftermath, s.r.o.",,,,,,
13,AGIOS s.r.o.,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
14,AGUATERRA s.r.o.,Zuzana Křížová,"18, Za Zelenou liškou 477, 140 00 Praha 4-Krč, Czechia","{'lat': 50.0471478, 'lng': 14.4451474}",,,220 516 652
15,AIKYO FOODS CZECH,,,,,,
16,"Air Pizza, s.r.o.",,,,,,
17,"Aishel, s.r.o.","Aishel, s.r.o.","6, U Milosrdných 849, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0917035, 'lng': 14.421142}",,,221 665 141
18,Al Karim,Al Karim,"Jindřišská 11, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.0836854, 'lng': 14.4275997}",4.4,559.0,224 267 081
19,Al-Mare Těšnov s. r. o.,,,,,,
20,ALBIO,,,,,,
21,ALDEN,,,,,,
22,ALDENTE TRATTORIA ITALIANA,INVITALY EnoTrattoria,"Vězeňská 911/4, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0901552, 'lng': 14.4216411}",4.6,26.0,222 313 185
23,Aleš Tománek,Josef Šrámek,"U Národní galerie 478, 156 00 Praha-Zbraslav, Czechia","{'lat': 49.977658, 'lng': 14.3943141}",,,257 921 449
24,"Alforno Focacceria Italiana - FINE FOOD CZ, s. r. o.",Alforno Focacceria Petrské náměstí,"Petrské nám. 4, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.09139260000001, 'lng': 14.4323443}",4.4,1547.0,222 316 011
25,ALLEGRO,CottoCrudo,"Veleslavínova 1098/2a, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08778290000001, 'lng': 14.4143405}",4.5,472.0,221 426 880
26,ALMA restaurace ALMA,Silnice II/201 420,"Silnice II/201 420, 270 24 Sýkořice, Czechia","{'lat': 50.0382404, 'lng': 13.9412548}",,,
27,"ALMIRA MV, s.r.o.",Pivnice Štupartská,"Štupartská 745/9, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08782919999999, 'lng': 14.4246745}",4.1,2865.0,222 314 308
28,ALOHA - MUSIC CLUB & COCKTAIL BAR PRAHA,ALOHA BAR & CLUB PRAGUE,"11, Dušní 8, Josefov, 110 00 Praha-Praha 1, Czechia","{'lat': 50.09052699999999, 'lng': 14.4202938}",4.3,975.0,602 251 392
29,Alois Filip,Merlin,"Bělehradská 68, Vinohrady, 120 00 Praha-Praha 2, Czechia","{'lat': 50.07108539999999, 'lng': 14.4333959}",4.6,1067.0,222 522 054
30,Alpská restaurace,,,,,,
31,"Alriso, s.r.o.",Alriso risotteria italiana,"Betlémské nám. 11/259, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0839232, 'lng': 14.4168454}",4.5,1134.0,222 233 341
32,Ambiente - The Living Restaurant,Restaurants In,"8, Třebízského 1391, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0771349, 'lng': 14.4437101}",4.0,1.0,222 727 851
33,Ambiente restaurace,AMBI CZ,"15, Maiselova 38, Josefov, 110 00 Praha-Praha 1, Czechia","{'lat': 50.089592, 'lng': 14.4181715}",4.2,10.0,222 714 990
34,AMBROISIE CAFFÉ RESTAURANT,,,,,,
35,AMBROZIE,,,,,,
36,Amfora restaurant,,,,,,
37,AMI RESTAURANT s.r.o.,"420, 331 286","420, 331 286, Krauzovna, 277 41 Kly, Czechia","{'lat': 50.3105574, 'lng': 14.5177591}",,,
38,Amigos - restaurace s mexickou a českou kuchyní,,,,,,
39,AMOS RESTAURANT,Restaurace Amos,"Masná 17, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0896815, 'lng': 14.4250468}",3.9,514.0,222 323 933
40,AN QI INTERNATIONAL TRADING spol. s r.o.,,,,,,
41,Ananta vegetarian restaurant,,,,,,
42,ANDĚL APARTMENTS,,,,,,
43,ANDĚL CITY,,,,,,
44,Andělská mrcha s.r.o.,,,,,,
45,Andre Saab,,,,,,
46,ANGEL restaurant,,,,,,
47,Anna Bradáčová,,,,,,
48,Anno Domini 1471,Čalounictví TS,"Náprstkova 5, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.0845019, 'lng': 14.4149799}",,,736 539 847
49,Antal,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
50,"Antique Shopping, s.r.o.",Gismondi 1754 Boutique,"Pařížská 935/4, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08829519999999, 'lng': 14.4204677}",5.0,4.0,222 211 192
51,ANTONÍN STARÝ - Firma Starý,U sv. Antoníčka,"20, Pplk. Sochora 983, Holešovice, 170 00 Praha-Praha 7, Czechia","{'lat': 50.0998733, 'lng': 14.433884}",4.4,543.0,220 879 428
52,AP TRUST a.s.,,,,,,
53,AP TRUST a.s.,,,,,,
54,Apetit samoobslužná restaurace a pivnice,Lahůdky Jarmark,"Vodičkova 699/30, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08091630000001, 'lng': 14.4246506}",,,224 162 619
55,APPROX.CZ s.r.o.,,,,,,
56,AQUA-SUN spol. s r.o.,233 420,"233 420, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
57,ARENA RESTAURACE,107 & Silnice II/603,"107 & Silnice II/603, 251 68 Sulice, Czechia","{'lat': 49.9152119, 'lng': 14.5821107}",,,
58,Argument Restaurant,,,,,,
59,"Archa - Czech, s.r.o.",608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
60,"Archibald, spol. s r.o.","Archibald, spol. s r.o.","Freyova 82/27, 190 00 Praha-Praha 9, Czechia","{'lat': 50.1081469, 'lng': 14.5014027}",5.0,1.0,266 035 811
61,"Aroha, s.r.o.",,,,,,
62,Aromi,Aromi,"Náměstí Míru 1234/6, Vinohrady, 120 00 Praha-Praha 2, Czechia","{'lat': 50.0761632, 'lng': 14.4363616}",4.5,841.0,222 713 222
63,Aromi - Enoteca Con Cucina,Aromi,"Náměstí Míru 1234/6, Vinohrady, 120 00 Praha-Praha 2, Czechia","{'lat': 50.0761632, 'lng': 14.4363616}",4.5,841.0,222 713 222
64,Art Nouveau Palace Hotel,"420, 111 224","420, 111 224, 257 26 Divišov, Czechia","{'lat': 49.7941437, 'lng': 14.8832502}",,,
65,ART&FOOD Had,605 555,"605 555, 252 16 Nučice, Czechia","{'lat': 50.0090741, 'lng': 14.1954979}",,,
66,"Artisan Investments, s.r.o.",Atelier Red&Wine,"4, Rošických 603, 150 00 Praha 5-Malá Strana, Czechia","{'lat': 50.07975090000001, 'lng': 14.40384070000001}",4.7,260.0,257 218 277
67,Asia House - Čínská a japonská kuchyně,Asia House - Čínská a japonská kuchyně,"Sokolovská 394/17, Karlín, 186 00 Praha-Praha 8, Czechia","{'lat': 50.0923606, 'lng': 14.4434057}",3.5,2.0,222 311 782
68,Asian Temple - VIP GASTRO s.r.o.,Asian Temple,"13, Bílkova 864, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.09127119999999, 'lng': 14.4210038}",4.4,909.0,222 311 659
69,ASK s.r.o.,,,,,,
70,ASMERA RESTAURANT,Majestic Plaza Hotel Prague,"Štěpánská 645/33, 110 00 Praha 1-Nové Město, Czechia","{'lat': 50.07858980000001, 'lng': 14.4250252}",4.4,1992.0,221 486 100
71,ASTON Café Restaurant,,,,,,
72,Astoria Restaurant,ASTORIA HOTEL PRAGUE,"Rybná 680/10, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0888818, 'lng': 14.4261567}",4.3,864.0,221 775 711
73,ATHABASCA s.r.o.,,,,,,
74,ATLANTA,,,,,,
75,Atmosphere,Atmosphere Cafe Pub,"14, Smetanovo nábř. 327, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08408499999999, 'lng': 14.413512}",4.3,1522.0,222 222 114
76,ATTIC HOTEL***,,,,,,
77,ATTIC PK spol. s r.o.,Attic Pk Ltd.,"10, V Jahodách 1243, 148 00 Praha-Kunratice, Czechia","{'lat': 50.0140209, 'lng': 14.4945326}",,,244 912 524
78,AU GOURMAND,Au Gourmand,"Dlouhá 10, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0890028, 'lng': 14.4223535}",3.8,48.0,723 065 248
79,Augustine Restaurant,,,,,,
80,AWE PRAHA s.r.o.,,,,,,
81,B.T.M. PROJEKT s.r.o.,"B.T.M. Projekt, s.r.o.","1, Letenská 118, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0899611, 'lng': 14.4097626}",5.0,1.0,257 532 385
82,B&t food services  s.r.o.,,,,,,
83,B+M NEPOMUK s.r.o.,,,,,,
84,Bacco F&B s.r.o.,Taverna Toscana,"Malé Nám. 11, 110 00 Praha 1-Staré Město, Czechia","{'lat': 50.0863918, 'lng': 14.4197342}",3.4,678.0,224 231 220
85,"BACCHUS GROUP, s.r.o.",,,,,,
86,Balbínova poetická hospůdka,Balbín poetic pub,"6, Balbínova 323, Vinohrady, 120 00 Praha-Praha 2, Czechia","{'lat': 50.0768944, 'lng': 14.4339389}",4.6,578.0,723 889 143
87,Balbínova poetická spol. s r.o.,,,,,,
88,BALBÍNOVA POETICKÁ spol. s r.o.,,,,,,
89,Balbínova poetická spol. s r.o.,"Restaurace ""U Balbínů""","Jungmannova 22, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0814807, 'lng': 14.4225903}",4.3,164.0,226 804 980
90,"BALTHASAR, s.r.o.",,,,,,
91,Bánh Mì Makers,,,,,,
92,BANYAN - čajovna Praha Vinohrady,,,,,,
93,BANYAN - čajovna Praha Vinohrady,,,,,,
94,Bar - restaurant Starý pán,,,,,,
95,Bar & Restaurant Calvera,,,,,,
96,Baráčnická rychta,,,,,,
97,BARBAR - RESTAURACE s.r.o.,,,,,,
98,Barbara VERNARČÍKOVÁ,,,,,,
99,"Barbora Kolín, spol. s r.o.",,,,,,
100,BAROCK RESTAURANT,,,,,,
101,BAROCK s.r.o.,,,,,,
102,BASTA s.r.o.,,,,,,
103,BASTION PRAGUE RESTAURANT,Bastion Prague,"4A, Horská 2101, Nové Město, 128 00 Praha-Praha 2, Czechia","{'lat': 50.0677361, 'lng': 14.4266665}",4.5,185.0,736 114 124
104,"Bašta a spol., s.r.o.",522,"522, Czechia","{'lat': 50.2611965, 'lng': 14.4225366}",,,
105,BAUREST s.r.o.,,,,,,
106,BAUREST s.r.o.,,,,,,
107,BBB Europe s. r. o.,,,,,,
108,BBQ U Davida,606,"606, Czechia","{'lat': 50.0811842, 'lng': 14.2568543}",,,
109,Be Bop Lobby Bar,BeBop Bar,"Štěpánská 624/40, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.07993, 'lng': 14.426204}",4.7,338.0,222 820 420
110,Beach cafe,,,,,,
111,Behsud restaurant,,,,,,
112,BEI HAI s.r.o.,Taiwan Restaurant,"5, Třebízského 1408, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0775193, 'lng': 14.4436722}",3.8,128.0,224 247 549
113,"BELIVE, a.s.",,,,,,
114,"BELLA VITA FF, spol. s r.o.","Bella Vita Ff, spol. S R.o.","6, Štupartská 598, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0876141, 'lng': 14.4236379}",1.0,5.0,222 311 665
115,"Belle Epogue, s.r.o.",,,,,,
116,BEN TENG s.r.o.,,,,,,
117,Benada Restaurant Praha 9 Vysočany,,,,,,
118,Benda Petr,Hotel ELMA,"Srbsko 179, 267 18 Srbsko, Czechia","{'lat': 49.93622730000001, 'lng': 14.1352802}",4.2,239.0,311 622 974
119,Bendys Bar,Bendy's bar,"10, Křemencova 178, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.07870310000001, 'lng': 14.417405}",4.6,202.0,723 761 670
120,"BERÁNEK Praha, s.r.o.",Dolce Villa Hotel,"Nebušická 93, 164 00 Praha 6, Czechia","{'lat': 50.1103581, 'lng': 14.331868}",4.4,627.0,220 199 510
121,Bernard Pub Anděl,242,"242, Czechia","{'lat': 50.1434261, 'lng': 14.3965365}",,,
122,BESEDNÍ RESTAURACE,Besední Restaurace u Ritschelů,"7, Slivenecká 92, 152 00 Praha 5, Czechia","{'lat': 50.040822, 'lng': 14.393897}",4.2,666.0,251 810 946
123,BETYS GROUP s.r.o.,,,,,,
124,BETYS group s.r.o.,BETYS group s.r.o.,"8, Bělomlýnská 394, 196 00 Praha-Čakovice, Czechia","{'lat': 50.153249, 'lng': 14.5289294}",4.4,7.0,283 930 923
125,BETYS group s.r.o.,,,,,,
126,BETYS group s.r.o.,Švejk Restaurant Strašnice: Švejkovo koryto,"28, Průběžná 1174, 100 00 Praha 10-Strašnice, Czechia","{'lat': 50.0688161, 'lng': 14.4914897}",3.8,872.0,274 812 027
127,Bhojan s.r.o.,,,,,,
128,Bibimbap Korea - Oáza Karlín,Bibimbap Korea,"Chlumova 612/1, 130 00 Praha 3-Žižkov, Czechia","{'lat': 50.084224, 'lng': 14.4526468}",4.5,1558.0,737 917 956
129,BIG HAM s.r.o.,,,,,,
130,BIG HAM s.r.o.,,,,,,
131,BILLIARD-CENTRUM s.r.o.,,,,,,
132,"Bílý koníček, s.r.o.",,,,,,
133,Bio-Plevel s.r.o. - Restaurace Pavel,,,,,,
134,Bio-Plevel s.r.o. - Restaurace Pavel,,,,,,
135,BK Hospitality s.r.o.,Indian by Nature,"Pernerova 478/1, 186 00 Praha 8-Karlín, Czechia","{'lat': 50.089422, 'lng': 14.4450689}",4.5,1836.0,601 200 198
136,Blackberry café,,,,,,
137,Blackdog Bar & Grill,,,,,,
138,Blanická Koruna,,,,,,
139,Blanka Wimmerová,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
140,Blue Burger Bar,,,,,,
141,BLUE CAKE s.r.o.,Blue Cake S.r.o.,"2, Sofijské nám. 3405, 143 00 Praha 12, Czechia","{'lat': 50.0059941, 'lng': 14.4172002}",,,244 402 255
142,BOBR,U Tří Prasátek (Three Piglets),"Vinohradská 122, 130 00 Praha 3-Vinohrady, Czechia","{'lat': 50.07745980000001, 'lng': 14.4586587}",4.3,1883.0,773 616 029
143,BoFit s.r.o.,,,,,,
144,BOHÉMA ANAH s.r.o.,,,,,,
145,Bohemia Appetit s.r.o.,,,,,,
146,BOHEMIA BAGEL,,,,,,
147,Bohemica Old Town,,,,,,
148,BOKOVKA,,,,,,
149,"BONAVITA restaurants, spol. s r.o.",,,,,,
150,"Bonto.CZ, s.r.o.",,,,,,
151,"BOROLO, s.r.o.","Borolo, S.r.o.","2, Chrudimská 1418, Vinohrady, 130 00 Praha-Praha 3, Czechia","{'lat': 50.0773187, 'lng': 14.4625967}",,,272 176 580
152,BORSKÝ GASTRO a.s.,Borský Gastro,"39, Václavské nám. 821, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0815079, 'lng': 14.4279585}",4.6,33.0,602 570 571
153,BOSSA NOVA spol. s r.o.,,,,,,
154,"Boulangerie DE Paris, s.r.o.",608 420,"608 420, 250 70 Odolena Voda, Czechia","{'lat': 50.2277496, 'lng': 14.3979093}",,,
155,BOULEVARD s.r.o.,,,,,,
156,Bowling Bar v Park Holiday,,,,,,
157,BOWLING CENTRUM VIP,,,,,,
158,BOWLING PATIUM ZBRASLAV,,,,,,
159,Božská komedie - Libuš,Božská komedie,"160, Libušská 325, 142 00 Praha-Praha-Libuš, Czechia","{'lat': 50.0059144, 'lng': 14.464021}",4.4,660.0,244 462 007
160,Brasserie La Gare a Boutiques Gourmandes,La Gare,"V Celnici 1038/3, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0884899, 'lng': 14.4305742}",4.4,999.0,222 313 712
161,"BRASSERIE MOZART, spol. s r.o.",,,,,,
162,"BRASSERIE MOZART, spol. s r.o.",,,,,,
163,BRAZIL FOOD s.r.o.,,,,,,
164,Bredovský dvůr,Bredovský Dvůr,"Politických vězňů 935/13, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0825864, 'lng': 14.4298901}",4.4,4094.0,224 215 427
165,BROOKLYN-FANTASIE s.r.o.,,,,,,
166,"BRUSELSKÁ, s.r.o.",,,,,,
167,Bruxx,Bruxx,"Náměstí Míru 9, 120 00 Praha 2-Vinohrady, Czechia","{'lat': 50.0756294, 'lng': 14.4379472}",4.6,3639.0,224 250 404
168,BUDDLEIA s.r.o.,,,,,,
169,BUDVARKA,Original pivnice Budvarka Dejvice,"22, Wuchterlova 336, 160 00 Praha 6-Dejvice, Czechia","{'lat': 50.09831749999999, 'lng': 14.396066}",4.4,1619.0,222 960 820
170,BUGSY S,Bugsy's Bar,"Pařížská 1068/10, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08900569999999, 'lng': 14.4200287}",4.6,837.0,224 810 287
171,Bull Dog´s Dart´s Pub,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
172,Bull Dog´s Dart´s Pub,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
173,"BERÁNEK Praha, s.r.o.",Dolce Villa Hotel,"Nebušická 93, 164 00 Praha 6, Czechia","{'lat': 50.1103581, 'lng': 14.331868}",4.4,627.0,220 199 510
174,Burger's Friends,,,,,,
175,"Burrito Loco, s.r.o.",606 39,"606 39, 271 01 Nové Strašecí, Czechia","{'lat': 50.15700649999999, 'lng': 13.8975993}",,,
176,Buta Restaurant and Lounge,,,,,,
177,Butcher's Grill & Pasta,"BeefHouse,Praha","Mlynářská 3, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0918625, 'lng': 14.4341214}",4.4,1334.0,296 150 153
178,C'EST LA VIE,,,,,,
179,CaA & KOVO spol. s r.o.,233 323,"233 323, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
180,CAFÉ - RESTAURANT BERTRAMKA,,,,,,
181,CAFE - RESTAURANT U ČARODĚJEK,,,,,,
182,Café & Restaurant Slavia a.s.,,,,,,
183,Café B. Braun - PRAGUE Expertise s.r.o.,,,,,,
184,Cafe Buddha,606,"606, Czechia","{'lat': 50.0811842, 'lng': 14.2568543}",,,
185,CAFE DE PARIS,Cafe De Paris,"Velkopřevorské nám. 4, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0862425, 'lng': 14.4062888}",4.3,381.0,603 160 718
186,CAFÉ IMPERIAL,Café Imperial,"Na Poříčí 1072/15, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08979859999999, 'lng': 14.4326642}",4.6,8128.0,246 011 440
187,Café Lounge & Restaurant,,,,,,
188,"Café Prados - Prados Plus, s.r.o.",,,,,,
189,CAFE RESTAURANT,,,,,,
190,Cafe restaurant Colibri,,,,,,
191,Café Restaurant Hřiště,Café Restaurant Hřiště,"U Arborky 397, 190 15 Praha-Satalice, Czechia","{'lat': 50.1226372, 'lng': 14.5676202}",,,734 851 030
192,CAFÉ RESTAURANT PALANDA,Café restaurant Palanda,"11, Zlatnická 1122, Nové Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.09050060000001, 'lng': 14.4319696}",4.6,2498.0,777 700 422
193,Cafe Restaurant SCONTO - Černý Most,,,,,,
194,Cafe Restaurant SCONTO - Stodůlky,,,,,,
195,Café Revenir,,,,,,
196,Café Rico,,,,,,
197,Café Sladkovský,,,,,,
198,CAFE U FÍLŮ - RESTAURANT,,,,,,
199,CAFFEINE s.r.o.,,,,,,
200,Caffrey's Irish Bar,Caffrey's Irish Bar,"Staroměstské nám. 10, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0884094, 'lng': 14.4217234}",4.2,1508.0,224 828 031
201,CAFFREY'S IRISH BAR,,,,,,
202,CAI SHEN s.r.o.,"420, 233 334","420, 233 334, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
203,CANTINETTA FIORENTINA,,,,,,
204,CANZONE,Una Bella Canzone,"Eliášova 7/331, 160 00 Praha 6-Bubeneč, Czechia","{'lat': 50.0985887, 'lng': 14.4016846}",4.1,399.0,224 325 226
205,"CARIOCA PRAHA, spol. s r.o.",,,,,,
206,Carmine Mastrocinque,Le Cinque Corone,"Melantrichova 465/11, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0855051, 'lng': 14.4207782}",4.3,670.0,224 221 496
207,Cartelo Alto s.r.o.,,,,,,
208,CASA ANDINA,Restaurace Farrango,"15, Dušní 6, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0908549, 'lng': 14.4202571}",,,224 815 996
209,"CASA DE CARLI, s.r.o.",Casa De Carli,"Vězeňská 116/5, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0905608, 'lng': 14.4216907}",4.7,276.0,224 816 688
210,CASA LUSITANA,,,,,,
211,CASIMIRIA s.r.o.,,,,,,
212,CATHEDRALE,,,,,,
213,CENTRAL PARK - U ČERNÝ PLÍCE,,,,,,
214,CENTRUM LISBOA,,,,,,
215,Cihelna La Familia,Cihelna La Familia,"Křižíkova 26, Karlín, 186 00 Praha-Praha 8, Czechia","{'lat': 50.0918482, 'lng': 14.4490177}",4.0,950.0,222 311 233
216,CIRCA MEDIA s.r.o.,"Flamingo, ČR A.s.","Rubeška 389/5, 190 00 Praha-Praha 9, Czechia","{'lat': 50.11071459999999, 'lng': 14.4951834}",4.0,1.0,266 311 942
217,CIRCA MEDIA s.r.o.,"Flamingo, ČR A.s.","Rubeška 389/5, 190 00 Praha-Praha 9, Czechia","{'lat': 50.11071459999999, 'lng': 14.4951834}",4.0,1.0,266 311 942
218,CLUB DC1,Club DC1,"1, Václavské nám. 846, 110 00 Praha 1-Můstek, Czechia","{'lat': 50.0841919, 'lng': 14.4242272}",,,224 247 515
219,Club restaurant Na Hromádkové,,,,,,
220,CLUB-REST CHARLIE s.r.o.,,,,,,
221,CLUBRESTAURANT,,,,,,
222,"CMC leisure, s.r.o.",,,,,,
223,"CMG Systems, s.r.o.",,,,,,
224,CNT s.r.o.,,,,,,
225,COBIN INC. INTERNATIONAL s.r.o.,,,,,,
226,CODA RESTAURANT,Coda Restaurant,"Tržiště 368/9, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0871271, 'lng': 14.4026459}",4.6,338.0,225 334 761
227,COFFEE FELLOWS,,,,,,
228,COFFEE HEAVEN,,,,,,
229,Coffee Source s.r.o.,115,"115, Czechia","{'lat': 49.89107019999999, 'lng': 14.1895537}",,,
230,COLOSEUM RESTAURANTS s.r.o.,,,,,,
231,COLOSEUM RESTAURANTS s.r.o.,,,,,,
232,COLOSEUM RESTAURANTS s.r.o.,,,,,,
233,"Colpin, s.r.o.",,,,,,
234,COMO RESTAURANT & CAFÉ,240,"240, Czechia","{'lat': 50.1742573, 'lng': 14.3181313}",,,
235,"Compass Gastro, s.r.o.","Compass Gastro, s.r.o.","28, Půlkruhová 732, 160 00 Praha 6, Czechia","{'lat': 50.10032760000001, 'lng': 14.3433979}",,,222 253 466
236,CORSO Restaurant,,,,,,
237,CORTE DI ANGELO,BEERTIME.pub,"Nádražní 61/116, Smíchov, 150 00 Praha-Praha 5, Czechia","{'lat': 50.07133100000001, 'lng': 14.4047451}",4.4,1993.0,257 326 167
238,CP 1,,,,,,
239,Crazy Cow Steakhouse,Ristorante Venezia,"8, Dlouhá 613, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.0890278, 'lng': 14.4222033}",,,222 310 410
240,"CREAM & DREAM, S.R.O.",113 420,"113 420, 257 24 Chocerady, Czechia","{'lat': 49.87247079999999, 'lng': 14.8030293}",,,
241,"CREAM & DREAM, S.R.O.",,,,,,
242,"CREAM & DREAM, s.r.o.",241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
243,"CREAM & DREAM, s.r.o.",Crème de la Crème,"12, Husova 231, Staré Město, 110 00 Praha-Praha 1, Czechia","{'lat': 50.08571509999999, 'lng': 14.4182253}",4.8,4563.0,224 211 035
244,Créperie Aux Clochettes - U ZVONEČKŮ-CLOCHE s.r.o.,,,,,,
245,Creperie U slepé kočičky,233 371,"233 371, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
246,Cukrárna a pizzerie Don Pablo,,,,,,
247,CULINARIA,,,,,,
248,Culinary Aroma,Quick's grill,"Českomoravská 2420/15a, 190 00 Praha 9, Czechia","{'lat': 50.1039042, 'lng': 14.4908306}",4.0,1.0,774 414 230
249,Curry House,,,,,,
250,Curry Masala Praha,,,,,,
251,Curry Palace,233 378,"233 378, 338 24 Břasy, Czechia","{'lat': 49.8267329, 'lng': 13.5799694}",,,
252,CZECHOUSE GRILL & ROTISSERIE,Café & Bistro,"Pobřežní 1, Karlín, 186 00 Praha-Praha 8, Czechia","{'lat': 50.0933023, 'lng': 14.4396297}",4.3,117.0,224 842 700
253,"ČD Restaurant, a.s.",,,,,,
254,Čejka Jan,Silnice II/603,"Silnice II/603, Czechia","{'lat': 49.9194682, 'lng': 14.5811576}",,,
255,Černý diamant s.r.o.,,,,,,
256,ČERNÝ KOHOUT,,,,,,
257,ČERTOVKA,"4HP, spol. s r.o.","22, U Lužického semináře 99, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0878099, 'lng': 14.4093856}",,,257 534 524
258,ČERTOVKA - RESTAURACE A PIVNICE,"4HP, spol. s r.o.","22, U Lužického semináře 99, Malá Strana, 118 00 Praha-Praha 1, Czechia","{'lat': 50.0878099, 'lng': 14.4093856}",,,257 534 524
259,ČERTŮV MLÝN - restaurant,,,,,,
260,Česká Hospoda,,,,,,
261,Česká hospůdka Na Radnici,Hospůdka Na Radnici,"Sokolovská 324/14, 190 00 Praha 9-Vysočany, Czechia","{'lat': 50.1101392, 'lng': 14.5001419}",4.4,2038.0,725 708 050
262,ČÍNSKÁ RESTAURACE,,,,,,
263,ČÍNSKÁ RESTAURACE,241,"241, Czechia","{'lat': 50.1373603, 'lng': 14.3686514}",,,
264,ČÍNSKÁ RESTAURACE,,,,,,
